match,cluster,predicted_quality
"Universitatea Cluj - Hermannstadt, 3-0",0,1
"Argeș - Hermannstadt, 3-1",0,1
"FCS Bucureşti - Universitatea Craiova, 1-0",0,1
"Universitatea Craiova - Csikszereda Miercurea Ciuc, 5-0",0,1
"Botoşani - Universitatea Cluj, 1-3",0,1
"Metaloglobus - Hermannstadt, 1-1",0,1
"Hermannstadt - Csikszereda Miercurea Ciuc, 0-2",0,1
"Argeș - FCS Bucureşti, 1-0",0,1
"CFR Cluj - Metaloglobus, 4-2",0,1
"Universitatea Cluj - CFR Cluj, 2-1",0,1
"CFR Cluj - Dinamo Bucureşti, 1-1",0,1
"Petrolul 52 - Universitatea Cluj, 0-1",0,1
"UTA Arad - Universitatea Cluj, 0-2",0,1
"Csikszereda Miercurea Ciuc - Unirea Slobozia, 3-2",0,1
"Csikszereda Miercurea Ciuc - UTA Arad, 2-0",0,1
"Rapid Bucureşti - Argeș, 0-0",0,1
"Hermannstadt - FCS Bucureşti, 3-3",0,1
"UTA Arad - Hermannstadt, 1-0",0,1
"Csikszereda Miercurea Ciuc - Universitatea Craiova, 1-2",0,1
"Argeș - Farul Constanţa, 1-0",0,1
"Metaloglobus - UTA Arad, 2-2",0,1
"CFR Cluj - UTA Arad, 1-1",0,1
"FCS Bucureşti - Metaloglobus, 4-1",0,1
"Rapid Bucureşti - Hermannstadt, 1-2",0,1
"Petrolul 52 - Botoşani, 0-0",0,1
"Oţelul - Farul Constanţa, 2-2",0,1
"Botoşani - Farul Constanţa, 1-1",0,1
"Universitatea Craiova - Argeș, 3-1",0,1
"Farul Constanţa - CFR Cluj, 1-2",0,1
"Dinamo Bucureşti - Hermannstadt, 2-0",0,1
"Oţelul - Metaloglobus, 4-0",0,1
"Rapid Bucureşti - FCS Bucureşti, 2-2",0,1
"Botoşani - Oţelul, 0-0",0,1
"Petrolul 52 - CFR Cluj, 1-0",0,1
"Petrolul 52 - Rapid Bucureşti, 0-1",0,1
"CFR Cluj - Dinamo Bucureşti, 2-0",0,1
"Universitatea Cluj - FCS Bucureşti, 0-2",0,1
"Farul Constanţa - Petrolul 52, 2-1",0,1
"Botoşani - Argeș, 3-1",0,1
"Csikszereda Miercurea Ciuc - Metaloglobus, 2-2",0,1
"Hermannstadt - Botoşani, 3-1",0,1
"Farul Constanţa - Universitatea Cluj, 0-1",0,1
"Argeș - Petrolul 52, 0-1",0,1
"Hermannstadt - CFR Cluj, 0-1",0,1
"Oţelul - Rapid Bucureşti, 1-1",0,1
"Petrolul 52 - Universitatea Craiova, 0-4",0,1
"Unirea Slobozia - Metaloglobus, 2-1",0,1
"FCS Bucureşti - Argeș, 0-2",0,1
"Universitatea Craiova - Petrolul 52, 2-0",0,1
