match,playerName,teamId,position,player_score
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Luca Stancu,55427.0,Defender,0.84
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alin Chintes,60374.0,Defender,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alexandru Bota,11634.0,Midfielder,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Kevin Ciubotaru,55427.0,Defender,0.12
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Patrick Patrick Vuc,68616.0,Midfielder,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ianis Mihart,68616.0,Forward,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ianis Gîndilă,55427.0,Midfielder,0.06
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ştefan Daniel Lefter,60374.0,Goalkeeper,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Andrei Cosmin Gheorghiță,60374.0,Midfielder,0.28
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Omar El Sawy,60374.0,Forward,0.77
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Atanas Trică,60374.0,Forward,0.27
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alexandru Oroian,78702.0,Defender,0.45
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Diogo José Branco Batista,55427.0,Midfielder,0.52
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Seydou Saeed Issah,55427.0,Defender,1.68
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Nana Kwame Antwi,13276.0,Defender,0.69
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Dorin Marian Codrea,60374.0,Midfielder,1.13
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Jovo Lukić,60374.0,Forward,1.04
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Jasper van der Werff,60374.0,Defender,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Marko Gjorgjievski,55427.0,Forward,0.28
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alexandru Chipciu,60374.0,Forward,1.16
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Florin Bejan,78702.0,Defender,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alin Toșca,60374.0,Defender,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Aurelian Chițu,55427.0,Forward,0.78
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Sergiu Florin Buș,55427.0,Forward,0.24
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Andreas Karo,55427.0,Defender,1.7
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ovidiu Bic,60374.0,Midfielder,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Dino Mikanović,60374.0,Defender,1.16
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ionuț Stoica,55427.0,Defender,1.76
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ciprian Biceanu,78702.0,Midfielder,0.82
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Cătălin Vasile Căbuz,23334.0,Goalkeeper,0.46
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Elio Capradossi,60374.0,Defender,1.42
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Edvinas Gertmonas,60374.0,Goalkeeper,0.66
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ionuţ Pop,55427.0,Goalkeeper,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Vlad Muțiu,55427.0,Goalkeeper,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Iulian Cristea,60374.0,Defender,1.2
