match,playerName,teamId,position,goals,assists,shots,passes,interceptions,recoveries,player_score
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Luca Stancu,55427.0,Defender,0,0,0,25,1,5,0.6
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alin Chintes,60374.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alexandru Bota,11634.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Kevin Ciubotaru,55427.0,Defender,0,0,0,4,2,1,0.04
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Patrick Patrick Vuc,68616.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ianis Mihart,68616.0,Forward,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ianis Gîndilă,55427.0,Midfielder,0,0,0,2,0,0,0.01
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ştefan Daniel Lefter,60374.0,Goalkeeper,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Andrei Cosmin Gheorghiță,60374.0,Midfielder,0,0,1,4,0,1,0.17
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Omar El Sawy,60374.0,Forward,0,0,2,13,2,6,0.54
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Atanas Trică,60374.0,Forward,0,0,0,9,0,2,0.17
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alexandru Oroian,78702.0,Defender,0,0,1,23,1,1,0.46
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Diogo José Branco Batista,55427.0,Midfielder,0,0,1,15,1,3,0.43
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Seydou Saeed Issah,55427.0,Defender,0,0,1,47,6,11,1.44
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Nana Kwame Antwi,13276.0,Defender,0,0,1,23,2,2,0.42
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Dorin Marian Codrea,60374.0,Midfielder,0,0,0,37,2,4,1.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Jovo Lukić,60374.0,Forward,3,0,3,19,0,3,5.29
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Jasper van der Werff,60374.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Marko Gjorgjievski,55427.0,Forward,0,0,1,4,1,0,0.14
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alexandru Chipciu,60374.0,Forward,0,0,0,48,0,8,0.86
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Florin Bejan,78702.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alin Toșca,60374.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Aurelian Chițu,55427.0,Forward,0,0,0,27,2,5,0.45
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Sergiu Florin Buș,55427.0,Forward,0,0,1,5,0,0,0.09
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Andreas Karo,55427.0,Defender,0,0,0,47,6,15,1.36
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ovidiu Bic,60374.0,Midfielder,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Dino Mikanović,60374.0,Defender,0,0,0,37,2,6,0.93
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ionuț Stoica,55427.0,Defender,0,0,0,38,6,14,1.47
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ciprian Biceanu,78702.0,Midfielder,0,0,0,48,1,1,0.78
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Cătălin Vasile Căbuz,23334.0,Goalkeeper,0,0,0,17,1,3,0.42
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Elio Capradossi,60374.0,Defender,0,0,0,49,3,10,1.35
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Edvinas Gertmonas,60374.0,Goalkeeper,0,0,0,28,0,4,0.66
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Ionuţ Pop,55427.0,Goalkeeper,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Vlad Muțiu,55427.0,Goalkeeper,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Iulian Cristea,60374.0,Defender,0,0,0,32,1,9,0.96
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Miguel Ângelo Gomes da Silva,60374.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Alessandro Murgia,60374.0,Midfielder,0,0,1,58,4,13,1.79
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Tiberiu Căpușă,55427.0,Defender,0,0,0,0,0,0,0.0
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Jair Tavares da Silva,55427.0,Midfielder,0,0,0,9,0,1,0.19
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",Gabriel Simion,60374.0,Midfielder,0,1,0,17,1,0,1.56
