Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
DUMINICA - REACTIVITATE 30.11.2025,74,Tosca,4589,51.48,92.24,23,26,9,8,157.66,166,281.36,22.32,7.23,6.6,0.01,14.426660000000002,49.75065047701648,2.660196387490974
JOI 27.11.2025 FORTA-SSG ,74,Tosca,2848,79.1,36.03,24,20,3,1,127.62,101,187.45,54.58,0.0,7.9,0.0,11.3704,79.04524007771302,2.0966389312791294
MARTI 25.11.2025  (AEROB ),74,Tosca,8451,94.3,89.62,24,40,8,8,196.71,273,1146.33,251.63,9.21,8.7,0.03,22.363619999999997,94.2981477348806,4.123727954718617
TEHNIC + TACTIC -29.11.2025,74,Tosca,4067,42.82,94.97,11,16,3,2,145.39,76,182.56,149.1,82.53,5.9,0.04,11.80986,42.82404969990523,2.1776729269820008
Tactic 26.11.2025,74,Tosca,5936,63.3,93.78,33,37,10,12,179.34,242,325.57,38.81,0.0,7.5,0.0,18.1128,63.29707826828748,3.339900235213591
VINERI 28.11.2025,74,Tosca,6777,65.14,104.04,35,37,2,16,192.01,225,502.74,114.3,28.94,7.7,0.03,19.17508,65.13840830449827,3.5357787974382444
Joi 20.11.2025,73,Tosca,4765,41.57,114.61,18,18,4,7,136.37,122,107.31,83.89,70.11,5.8,0.03,13.12262,41.5757787278597,2.4197386171447026
Miercuri 19.11.2025,73,Tosca,6207,67.41,92.08,36,33,8,13,280.97,292,600.45,487.62,8.88,7.8,0.02,21.68416,67.40877497827975,3.9984392851690043
vineri 21.11.2025,73,Tosca,5018,53.57,93.68,45,30,12,7,238.76,159,211.71,34.26,0.0,6.5,0.0,16.2232,53.56532877882152,2.991468436460245
JOI 13.11.2025,72,Tosca,5735,64.01,89.6,35,32,13,20,284.63,254,418.87,400.48,14.93,7.8,0.01,20.48746,64.00669642857143,3.7777744177006882
Joc Amical Zibru,72,Tosca,8003,99.35,80.57,55,54,6,28,372.23,486,1011.2,294.78,54.65,9.8,0.05,30.426900000000003,99.32977535062679,5.6105522319475964
MARTI 11.11.2025,72,Tosca,7526,96.72,77.82,33,18,2,8,240.47,181,1527.2,141.12,18.95,9.3,0.05,20.893300000000004,96.71035723464406,3.8526090711755296
MARTI 18.11.2025 Grupa 1,72,Tosca,4785,54.76,87.39,35,37,7,8,173.18,186,144.36,19.79,0.0,6.8,0.0,15.3686,54.75454857535187,2.833884918670973
MIERCURI A2 12.11.2025 SSG,72,Tosca,3570,67.39,52.98,37,32,9,7,207.75,155,222.88,12.53,0.0,7.5,0.0,14.575000000000001,67.38391845979615,2.687549463817747
MIERECURI 12.112025,72,Tosca,3301,38.01,86.84,32,29,8,11,197.41,198,262.9,77.88,0.0,6.2,0.0,14.309199999999999,38.012436665131276,2.6385374125324805
Vineri 14.11.2025,72,Tosca,6373,50.51,126.18,27,30,3,13,171.05,213,418.91,119.47,11.04,6.8,0.01,17.52608,50.507211919480106,3.2317123092162565
COMPENSATOR 07.11.2025,71,Tosca,1474,138.52,10.64,6,7,3,1,122.1,66,518.98,535.18,17.65,15.8,0.19,14.1213,138.53383458646616,2.6038896907999693
JOI 06.11.2025 ,71,Tosca,4553,56.99,79.9,27,41,8,7,168.1,197,237.93,86.82,0.0,6.8,0.0,15.255,56.98372966207759,2.8129377063835155
LUNI 03.11.2025 COMPENSATOR ,71,Tosca,4998,68.3,73.18,54,44,4,8,250.56,211,193.54,23.3,0.0,7.7,0.0,18.0792,68.29734900245968,3.333704580875047
MARTI 04.11.2025 METABOLIC,71,Tosca,6620,56.52,117.12,59,46,13,15,344.79,313,439.74,53.83,1.45,7.4,0.01,23.5287,56.52322404371584,4.338562268907625
MIERCURI 05.11.2025,71,Tosca,5011,45.08,111.17,31,35,4,9,244.25,252,304.75,107.52,72.6,6.7,0.04,18.6312,45.075110191598455,3.4354903307225526
JOI 27.11.2025 FORTA-SSG ,74,Taiwo,3266,90.68,36.03,39,45,24,27,302.45,294,262.07,110.2,0.0,9.3,0.0,19.845,90.646683319456,3.659308343702449
MARTI 25.11.2025  (AEROB ),74,Taiwo,9374,104.6,89.62,101,90,52,50,695.73,579,1249.65,290.27,48.03,9.4,0.08,40.06466,104.59718812765007,7.387701921169149
TEHNIC + TACTIC -29.11.2025,74,Taiwo,4302,45.3,94.97,27,25,6,9,128.94,131,75.55,58.25,73.79,5.4,0.04,12.548380000000002,45.298515320627565,2.313851934187399
Tactic 26.11.2025,74,Taiwo,6815,72.68,93.78,75,71,35,37,496.24,476,519.0,195.54,15.33,7.9,0.02,30.340460000000004,72.67007890808274,5.594613173583794
VINERI 28.11.2025,74,Taiwo,6475,62.23,104.04,56,44,18,17,243.95,165,432.76,17.82,0.0,7.4,0.0,18.354,62.23567858515955,3.384376182429566
Joi 20.11.2025,73,Taiwo,7746,67.59,114.61,69,71,24,27,485.21,456,638.25,284.68,107.69,7.4,0.05,30.735580000000002,67.58572550388273,5.66747111829348
Miercuri 19.11.2025,73,Taiwo,7652,83.1,92.08,65,51,34,24,569.25,367,758.04,611.35,57.18,8.4,0.08,31.091359999999998,83.10165073848827,5.733074984381786
vineri 21.11.2025,73,Taiwo,4214,44.99,93.68,33,33,7,7,102.69,100,56.94,12.77,0.0,5.0,0.0,10.767800000000001,44.98292058070025,1.9855228210289357
JOI 13.11.2025,72,Taiwo,6289,70.19,89.6,64,54,23,29,454.1,381,544.89,463.71,13.87,7.9,0.01,27.01874,70.18973214285715,4.9821063602079665
MARTI 11.11.2025,72,Taiwo,7949,102.17,77.82,62,50,27,31,425.69,398,1682.41,129.11,11.85,9.8,0.04,29.546500000000005,102.14597789771268,5.448211336719799
MIERCURI A2 12.11.2025 SSG,72,Taiwo,4211,79.48,52.98,51,46,27,30,309.95,269,204.53,29.42,7.21,7.9,0.02,19.85442,79.48282370705927,3.6610453396509337
MIERECURI 12.112025,72,Taiwo,3805,43.81,86.84,40,29,20,16,282.87,225,315.78,143.85,0.0,6.0,0.0,16.962400000000002,43.816213726393364,3.12777283190821
Vineri 14.11.2025,72,Taiwo,7305,57.9,126.18,61,53,23,23,457.16,555,682.92,257.58,66.03,7.4,0.06,31.68026,57.89348549690917,5.841664890333229
JOI 06.11.2025 ,71,Taiwo,4743,77.65,79.9,35,9,11,6,245.59,66,569.11,1113.98,69.54,8.5,0.09,15.813880000000001,59.36170212765957,2.9159920902146275
LUNI 03.11.2025 COMPENSATOR ,71,Taiwo,5344,73.03,73.18,65,50,16,41,331.36,370,341.68,40.9,0.69,8.3,0.0,23.522580000000005,73.02541678054112,4.337433774724533
MARTI 04.11.2025 METABOLIC,71,Taiwo,6493,55.44,117.12,60,74,25,26,485.2,509,528.66,182.83,43.7,7.9,0.03,30.5644,55.43886612021858,5.635906472172291
MIERCURI 05.11.2025,71,Taiwo,5399,48.57,111.17,53,50,19,16,276.05,231,191.66,67.1,47.44,5.9,0.03,18.734879999999997,48.56526041198165,3.4546083498243445
DUMINICA - REACTIVITATE 30.11.2025,74,Simion,5053,57.21,92.24,33,44,21,13,233.71,214,230.03,1.84,0.0,7.2,0.0,17.607200000000002,54.781006071118824,3.246670388976456
JOI 27.11.2025 FORTA-SSG ,74,Simion,3400,94.41,36.03,47,42,10,5,254.75,221,332.28,54.95,0.0,9.1,0.0,17.465,94.36580627255064,3.220449494722261
MARTI 25.11.2025  (AEROB ),74,Simion,10187,113.67,89.62,50,44,8,14,282.06,262,1896.77,113.79,2.13,10.0,0.01,26.122459999999997,113.66882392323141,4.816837280727309
TEHNIC + TACTIC -29.11.2025,74,Simion,5481,57.71,94.97,40,39,14,8,327.89,296,254.58,235.86,106.32,6.9,0.06,21.92144,57.71296198799621,4.042192406045483
Tactic 26.11.2025,74,Simion,7266,77.48,93.78,72,40,19,10,457.92,284,570.32,49.6,0.0,8.2,0.0,26.2044,77.47920665387076,4.831946563956485
VINERI 28.11.2025,74,Simion,7959,76.5,104.04,59,43,15,14,352.53,241,742.46,109.82,0.0,7.9,0.0,23.7796,76.49942329873126,4.384826842524905
JOC OFICIAL   UTA - U CLUJ ,73,Simion,9793,123.96,79.01,61,62,18,23,481.44,507,1782.44,475.11,42.78,11.3,0.03,35.44736,123.94633590684722,6.536297314700148
Joi 20.11.2025,73,Simion,7580,66.14,114.61,65,55,18,13,458.23,315,636.83,114.67,85.32,6.9,0.03,26.815239999999996,66.13733531105488,4.9445820846754165
Miercuri 19.11.2025,73,Simion,7825,84.98,92.08,58,37,21,15,470.45,287,942.42,570.69,11.74,9.5,0.02,27.847480000000004,84.98045178105995,5.134921436890254
vineri 21.11.2025,73,Simion,5315,56.74,93.68,46,44,30,18,270.28,228,205.8,18.5,0.0,6.8,0.0,18.680600000000002,56.73569598633646,3.4445994177560073
JOI 13.11.2025,72,Simion,6917,77.2,89.6,56,52,23,18,383.4,344,560.18,475.23,5.04,8.3,0.01,25.675079999999998,77.19866071428572,4.734342880787496
Joc Amical Zibru,72,Simion,8083,99.8,80.99,56,41,19,19,483.69,403,1043.75,362.71,83.11,10.1,0.07,31.383020000000002,99.80244474626498,5.78685547677404
MARTI 11.11.2025,72,Simion,8740,112.33,77.82,49,39,11,11,276.78,241,1836.96,78.54,0.0,10.5,0.0,24.3456,112.31046003598048,4.489194115013471
MARTI 18.11.2025 Grupa 1,72,Simion,5759,65.91,87.39,62,43,24,14,344.37,251,284.12,37.39,1.4,7.2,0.01,21.319200000000002,65.89998855704314,3.931142677806059
