match,progression_index,risk_index,final_third_index,defensive_stability_index,pressing_recovery_index,possession_security_index,attacking_threat_index,cluster
"Universitatea Cluj - Hermannstadt, 3-0_players_stats.json",262,180,19,96,31,304,11.37,0
"Botoşani - Universitatea Cluj, 1-3_players_stats.json",140,314,22,224,42,-8,10.62,2
"Universitatea Cluj - CFR Cluj, 2-1_players_stats.json",306,225,38,141,53,315,14.87,3
"Petrolul 52 - Universitatea Cluj, 0-1_players_stats.json",220,258,17,135,41,177,8.780000000000001,2
"UTA Arad - Universitatea Cluj, 0-2_players_stats.json",192,192,28,124,34,197,18.54,0
"Rapid Bucureşti - FCS Bucureşti, 2-2_players_stats.json",0,0,0,0,0,0,0.0,1
"Universitatea Cluj - FCS Bucureşti, 0-2_players_stats.json",187,318,17,166,32,155,9.26,2
"Farul Constanţa - Universitatea Cluj, 0-1_players_stats.json",115,277,24,198,35,65,13.77,2
"Oţelul - Rapid Bucureşti, 1-1_players_stats.json",1,3,0,0,0,0,0.0,1
"Petrolul 52 - FCS Bucureşti, 0-1_players_stats.json",8,17,0,1,0,-5,0.0,1
"Universitatea Cluj - CFR Cluj, 2-2_players_stats.json",273,195,22,136,34,239,9.78,0
"Csikszereda Miercurea Ciuc - Rapid Bucureşti, 0-2_players_stats.json",0,0,0,0,0,0,0.0,1
"Hermannstadt - Universitatea Cluj, 2-2_players_stats.json",389,185,12,94,24,563,10.49,3
"Dinamo Bucureşti - Universitatea Cluj, 1-0_players_stats.json",245,282,21,145,27,241,12.18,0
"Universitatea Cluj - Dinamo Bucureşti, 0-1_players_stats.json",239,186,9,122,39,185,4.26,2
"CFR Cluj - FCS Bucureşti, 2-2_players_stats.json",0,0,0,0,0,0,0.0,1
"CFR Cluj - Universitatea Craiova, 2-3_players_stats.json",2,10,6,1,0,-4,2.28,1
"Dinamo Bucureşti - Universitatea Cluj, 2-1_players_stats.json",245,187,23,101,29,204,13.14,0
"Universitatea Cluj - UTA Arad, 1-1_players_stats.json",326,192,38,127,43,416,19.61,3
"Universitatea Cluj - Argeș, 3-1_players_stats.json",188,189,26,121,23,176,13.12,0
"Universitatea Craiova - Universitatea Cluj, 2-1_players_stats.json",147,241,39,140,23,137,16.11,0
"Universitatea Cluj - Farul Constanţa, 1-0_players_stats.json",197,216,16,140,33,177,14.25,0
"Argeș - Universitatea Cluj, 0-1_players_stats.json",227,295,15,158,51,147,6.949999999999999,2
"FCS Bucureşti - Farul Constanţa, 1-2_players_stats.json",3,13,1,1,0,2,0.0,1
"Rapid Bucureşti - CFR Cluj, 1-1_players_stats.json",4,16,5,7,3,-4,3.59,1
"FCS Bucureşti - Universitatea Cluj, 1-3_players_stats.json",209,229,23,156,31,222,12.51,0
"Argeș - Rapid Bucureşti, 0-2_players_stats.json",3,1,0,1,1,2,0.0,1
"Rapid Bucureşti - Universitatea Cluj, 1-2_players_stats.json",275,226,39,132,39,225,16.36,0
"Oţelul - CFR Cluj, 4-1_players_stats.json",3,10,1,1,1,-4,2.07,1
"Universitatea Cluj - Metaloglobus, 3-1_players_stats.json",244,161,35,125,30,283,16.98,0
"CFR Cluj - Botoşani, 3-3_players_stats.json",0,0,0,0,0,0,0.0,1
"Metaloglobus - Universitatea Cluj, 1-4_players_stats.json",285,175,28,111,32,290,15.98,3
"CFR Cluj - Universitatea Cluj, 3-2_players_stats.json",363,224,39,125,44,367,21.78,3
"Universitatea Cluj - Universitatea Craiova, 4-0_players_stats.json",163,247,21,131,24,136,10.9,0
"Universitatea Cluj - Csikszereda Miercurea Ciuc, 4-1_players_stats.json",313,185,32,109,35,462,14.68,3
"Universitatea Cluj - Botoşani, 0-2_players_stats.json",202,230,19,132,32,180,12.88,0
"Universitatea Cluj - Unirea Slobozia, 1-0_players_stats.json",257,181,17,149,29,287,11.13,0
"Universitatea Cluj - Oţelul, 4-0_players_stats.json",267,198,43,134,39,299,24.01,3
"Oţelul - Universitatea Cluj, 1-2_players_stats.json",172,172,27,129,31,137,16.51,0
"CFR Cluj - Unirea Slobozia, 2-1_players_stats.json",1,12,4,3,2,-8,1.39,1
"Rapid Bucureşti - UTA Arad, 2-0_players_stats.json",0,0,0,0,0,0,0.0,1
"Universitatea Cluj - Rapid Bucureşti, 0-0_players_stats.json",281,177,15,111,42,331,9.03,3
"Unirea Slobozia - Universitatea Cluj, 0-1_players_stats.json",378,187,20,140,41,378,13.07,3
"Rapid Bucureşti - Universitatea Cluj, 0-2_players_stats.json",218,250,20,151,37,248,12.78,0
"Argeș - Universitatea Cluj, 1-0_players_stats.json",280,184,18,96,32,270,18.14,0
"Metaloglobus - Rapid Bucureşti, 1-2_players_stats.json",0,0,0,0,0,0,0.0,1
"Universitatea Cluj - Petrolul 52, 1-1_players_stats.json",353,157,13,130,44,405,6.25,3
"Csikszereda Miercurea Ciuc - Universitatea Cluj, 2-1_players_stats.json",351,146,43,127,40,408,19.22,3
"CFR Cluj - Argeș, 0-2_players_stats.json",0,3,1,1,1,1,0.01,1
"Rapid Bucureşti - Botoşani, 2-1_players_stats.json",0,0,0,0,0,0,0.0,1
"Universitatea Cluj - Universitatea Craiova, 0-0_players_stats.json",201,207,8,142,36,211,4.449999999999999,2
