match,cluster,predicted_quality
"Universitatea Cluj - Hermannstadt, 3-0",0,1
"Botoşani - Universitatea Cluj, 1-3",0,1
"Universitatea Cluj - CFR Cluj, 2-1",0,1
"Petrolul 52 - Universitatea Cluj, 0-1",0,1
"UTA Arad - Universitatea Cluj, 0-2",0,1
"Universitatea Cluj - FCS Bucureşti, 0-2",0,1
"Farul Constanţa - Universitatea Cluj, 0-1",0,1
"Oţelul - Rapid Bucureşti, 1-1",0,1
"Petrolul 52 - FCS Bucureşti, 0-1",0,1
"Universitatea Cluj - CFR Cluj, 2-2",0,1
"Hermannstadt - Universitatea Cluj, 2-2",0,1
"Dinamo Bucureşti - Universitatea Cluj, 1-0",0,1
"Universitatea Cluj - Dinamo Bucureşti, 0-1",0,1
"CFR Cluj - Universitatea Craiova, 2-3",0,1
"Dinamo Bucureşti - Universitatea Cluj, 2-1",0,1
"Universitatea Cluj - UTA Arad, 1-1",0,1
"Universitatea Cluj - Argeș, 3-1",0,1
"Universitatea Craiova - Universitatea Cluj, 2-1",0,1
"Universitatea Cluj - Farul Constanţa, 1-0",0,1
"Argeș - Universitatea Cluj, 0-1",0,1
"FCS Bucureşti - Farul Constanţa, 1-2",0,1
"Rapid Bucureşti - CFR Cluj, 1-1",0,1
"FCS Bucureşti - Universitatea Cluj, 1-3",0,1
"Argeș - Rapid Bucureşti, 0-2",0,1
"Rapid Bucureşti - Universitatea Cluj, 1-2",0,1
"Oţelul - CFR Cluj, 4-1",0,1
"Universitatea Cluj - Metaloglobus, 3-1",0,1
"Metaloglobus - Universitatea Cluj, 1-4",0,1
"CFR Cluj - Universitatea Cluj, 3-2",0,1
"Universitatea Cluj - Universitatea Craiova, 4-0",0,1
"Universitatea Cluj - Csikszereda Miercurea Ciuc, 4-1",0,1
"Universitatea Cluj - Botoşani, 0-2",0,1
"Universitatea Cluj - Unirea Slobozia, 1-0",0,1
"Universitatea Cluj - Oţelul, 4-0",0,1
"Oţelul - Universitatea Cluj, 1-2",0,1
"CFR Cluj - Unirea Slobozia, 2-1",0,1
"Universitatea Cluj - Rapid Bucureşti, 0-0",0,1
"Unirea Slobozia - Universitatea Cluj, 0-1",0,1
"Rapid Bucureşti - Universitatea Cluj, 0-2",0,1
"Argeș - Universitatea Cluj, 1-0",0,1
"Universitatea Cluj - Petrolul 52, 1-1",0,1
"Csikszereda Miercurea Ciuc - Universitatea Cluj, 2-1",0,1
"CFR Cluj - Argeș, 0-2",0,1
"Universitatea Cluj - Universitatea Craiova, 0-0",0,1
