match,progression_index,risk_index,final_third_index,defensive_stability_index,pressing_recovery_index,possession_security_index,attacking_threat_index
"Universitatea Cluj - Hermannstadt, 3-0",0.12447257383966245,0.2109704641350211,0.08649789029535865,0.14767932489451477,0.693069306930693,4.693069306930693,0.021052631578947368
"Botoşani - Universitatea Cluj, 1-3",0.26141078838174275,0.6058091286307054,0.14107883817427386,0.4066390041493776,0.6666666666666666,1.6394557823129252,0.0371900826446281
"Universitatea Cluj - CFR Cluj, 2-1",0.171875,0.228515625,0.119140625,0.169921875,0.7372881355932204,4.338983050847458,0.023391812865497075
"Petrolul 52 - Universitatea Cluj, 0-1",0.18598382749326145,0.32345013477088946,0.11859838274932614,0.21024258760107817,0.6446280991735537,3.0661157024793386,0.021505376344086023
"UTA Arad - Universitatea Cluj, 0-2",0.15789473684210525,0.2770083102493075,0.0997229916897507,0.19113573407202217,0.6831683168316832,3.5742574257425743,0.04419889502762431
"Universitatea Cluj - FCS Bucureşti, 0-2",0.18604651162790697,0.3372093023255814,0.06686046511627906,0.23255813953488372,0.6837606837606838,2.9401709401709404,0.020289855072463767
"Farul Constanţa - Universitatea Cluj, 0-1",0.1794871794871795,0.5,0.09401709401709402,0.3547008547008547,0.7033898305084746,1.9830508474576272,0.04680851063829787
"Oţelul - Rapid Bucureşti, 1-1",0.5,0.5,0.0,0.0,0.0,1.0,0.0
"Petrolul 52 - FCS Bucureşti, 0-1",0.18181818181818182,1.0,0.36363636363636365,0.09090909090909091,0.08333333333333333,0.9166666666666666,0.0
"Universitatea Cluj - CFR Cluj, 2-2",0.19082125603864733,0.26811594202898553,0.13768115942028986,0.20772946859903382,0.7678571428571429,3.6964285714285716,0.021686746987951807
"Hermannstadt - Universitatea Cluj, 2-2",0.10810810810810811,0.112375533428165,0.09103840682788052,0.08392603129445235,0.7375,8.7875,0.01278409090909091
"Dinamo Bucureşti - Universitatea Cluj, 1-0",0.16136363636363638,0.2818181818181818,0.1,0.17272727272727273,0.608,3.52,0.022675736961451247
"Universitatea Cluj - Dinamo Bucureşti, 0-1",0.18681318681318682,0.3021978021978022,0.1510989010989011,0.22527472527472528,0.7387387387387387,3.279279279279279,0.010958904109589041
"CFR Cluj - Universitatea Craiova, 2-3",0.0,1.25,0.0,0.0,0.0,0.7272727272727273,0.2222222222222222
"Dinamo Bucureşti - Universitatea Cluj, 2-1",0.2222222222222222,0.26944444444444443,0.13055555555555556,0.19444444444444445,0.7142857142857143,3.673469387755102,0.0332409972299169
"Universitatea Cluj - UTA Arad, 1-1",0.12586206896551724,0.15862068965517243,0.0896551724137931,0.14310344827586208,0.8924731182795699,6.236559139784946,0.027538726333907058
"Universitatea Cluj - Argeș, 3-1",0.1858974358974359,0.266025641025641,0.10256410256410256,0.19230769230769232,0.7142857142857143,3.7142857142857144,0.03514376996805112
"Universitatea Craiova - Universitatea Cluj, 2-1",0.18874172185430463,0.3344370860927152,0.0695364238410596,0.23509933774834438,0.696078431372549,2.9607843137254903,0.0429042904290429
"Universitatea Cluj - Farul Constanţa, 1-0",0.1349206349206349,0.31746031746031744,0.10846560846560846,0.2275132275132275,0.7107438016528925,3.12396694214876,0.03430079155672823
"Argeș - Universitatea Cluj, 0-1",0.18478260869565216,0.38858695652173914,0.13043478260869565,0.22282608695652173,0.5694444444444444,2.5555555555555554,0.013550135501355014
"FCS Bucureşti - Farul Constanţa, 1-2",0.15384615384615385,0.5384615384615384,0.0,0.0,0.0,1.625,0.0
"Rapid Bucureşti - CFR Cluj, 1-1",0.0,1.2,0.2,0.4,0.3076923076923077,0.7692307692307693,0.2727272727272727
"FCS Bucureşti - Universitatea Cluj, 1-3",0.18848167539267016,0.2643979057591623,0.08115183246073299,0.21727748691099477,0.8137254901960784,3.7450980392156863,0.02610966057441253
"Argeș - Rapid Bucureşti, 0-2",0.25,0.25,0.25,0.25,0.5,2.0,0.0
"Rapid Bucureşti - Universitatea Cluj, 1-2",0.19518072289156627,0.29397590361445786,0.12048192771084337,0.20963855421686747,0.7073170731707317,3.3739837398373984,0.03365384615384615
"Oţelul - CFR Cluj, 4-1",0.14285714285714285,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.7777777777777778,0.25
"Universitatea Cluj - Metaloglobus, 3-1",0.14864864864864866,0.21396396396396397,0.09009009009009009,0.18018018018018017,0.8333333333333334,4.625,0.029213483146067417
"Metaloglobus - Universitatea Cluj, 1-4",0.19333333333333333,0.2111111111111111,0.13111111111111112,0.17333333333333334,0.8125,4.6875,0.028824833702882482
"CFR Cluj - Universitatea Cluj, 3-2",0.16370106761565836,0.20640569395017794,0.12277580071174377,0.1619217081850534,0.7777777777777778,4.803418803418803,0.03197158081705151
"Universitatea Cluj - Universitatea Craiova, 4-0",0.1993006993006993,0.33916083916083917,0.06993006993006994,0.21328671328671328,0.6224489795918368,2.9183673469387754,0.027874564459930314
"Universitatea Cluj - Csikszereda Miercurea Ciuc, 4-1",0.10914927768860354,0.15569823434991975,0.060995184590690206,0.12038523274478331,0.7653061224489796,6.357142857142857,0.017628205128205128
"Universitatea Cluj - Botoşani, 0-2",0.2020997375328084,0.31496062992125984,0.12598425196850394,0.2125984251968504,0.6694214876033058,3.1487603305785123,0.028795811518324606
"Universitatea Cluj - Unirea Slobozia, 1-0",0.12415349887133183,0.21896162528216703,0.09255079006772009,0.17155756207674944,0.7755102040816326,4.520408163265306,0.02252252252252252
"Universitatea Cluj - Oţelul, 4-0",0.160676532769556,0.22832980972515857,0.080338266384778,0.17547568710359407,0.7614678899082569,4.339449541284404,0.04219409282700422
"Oţelul - Universitatea Cluj, 1-2",0.19047619047619047,0.3197278911564626,0.1326530612244898,0.2687074829931973,0.8315789473684211,3.094736842105263,0.04406779661016949
"CFR Cluj - Unirea Slobozia, 2-1",0.0,2.4,0.0,0.4,0.15384615384615385,0.38461538461538464,0.16666666666666666
"Universitatea Cluj - Rapid Bucureşti, 0-0",0.1392156862745098,0.2019607843137255,0.11764705882352941,0.15294117647058825,0.75,4.903846153846154,0.015655577299412915
"Unirea Slobozia - Universitatea Cluj, 0-1",0.1332116788321168,0.18795620437956204,0.13138686131386862,0.13686131386861314,0.7211538461538461,5.269230769230769,0.02185792349726776
"Rapid Bucureşti - Universitatea Cluj, 0-2",0.135678391959799,0.25125628140703515,0.10050251256281408,0.1708542713567839,0.6732673267326733,3.9405940594059405,0.02506265664160401
"Argeș - Universitatea Cluj, 1-0",0.18077803203661327,0.2288329519450801,0.12356979405034325,0.14416475972540047,0.6237623762376238,4.326732673267327,0.0365296803652968
"Universitatea Cluj - Petrolul 52, 1-1",0.12695652173913044,0.17217391304347826,0.12521739130434784,0.1426086956521739,0.82,5.75,0.008680555555555556
"Csikszereda Miercurea Ciuc - Universitatea Cluj, 2-1",0.1643598615916955,0.17301038062283736,0.12629757785467127,0.14878892733564014,0.8514851485148515,5.7227722772277225,0.02936096718480138
"CFR Cluj - Argeș, 0-2",0.0,0.6,0.0,0.2,0.25,1.25,0.0
"Universitatea Cluj - Universitatea Craiova, 0-0",0.15079365079365079,0.2724867724867725,0.06349206349206349,0.21164021164021163,0.7692307692307693,3.6346153846153846,0.010554089709762533
